"item_number","item","estimate_mean","estimate_sd","min","max","estimateLikert_mean","estimateLikert_sd","minLikert","maxLikert","example_sentence","H_INDEX","VISUAL_COMPLEXITY","lgSUBTLEX","B: AoA mean","B: AoA SD","B: min","B: max","B: AoALikert mean","B: AoALikert SD","B: minLikert","B: maxLikert","S: AoALikert mean","S: AoALikert SD"
1,"maus",3.65625,1.0351678997366376,1,5,2.09375,0.5880188169032162,1,3,"Die Maus schnuppert am Käse.",0,3.02,2.444,2.83,0.86,1,5,1.78,0.55,1,3,1.55,0.5104177855340406
2,"reifen",4.625,1.211503997304124,2,7,2.59375,0.6652370423996586,1,4,"Das Auto hat vier Reifen.",1.163235101,2.67,2.603,4.29,1.95,1,10,2.35,1.02,1,5,NA,NA
3,"treppenstufe",4.34375,1.2600403219354632,2,7,2.5,0.672021505032247,1,4,"Ronja steigt die Treppenstufen hinauf.",1.426662781,1.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"altar",7.151515151515151,1.8391780113887175,3,11,3.8181818181818183,0.9828067413836206,2,6,"Die Pfarrerin steht vor dem Altar.",0.968778287,3.4,2.286,5.89,3.03,2,15,3.16,1.42,1,7,NA,NA
5,"schulter",3.625,1.2889105176778741,2,7,2.0625,0.7156093726283553,1,4,"Ronja legt sich ein Tuch um die Schultern.",0.86235472,2.01,2.758,4.14,1.39,2,8,2.33,0.66,1,4,NA,NA
6,"kinn",3.787878787878788,1.3637626204176756,2,6,2.090909090909091,0.7650014854412197,1,3,"Der Mann rasiert sich am Kinn.",0.445050304,1.95,2.164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"fee",4.75,1.270001270001905,3,8,2.6875,0.5922891621605981,2,4,"Die Fee ist ein kleines fantastisches Wesen mit Flügeln.",0.14372617,3.12,2.146,3.63,1.13,2,6,2,0.66,1,3,NA,NA
8,"bein",3.0294117647058822,1.2574623609131437,1,6,1.7647058823529411,0.6257567850169363,1,3,"Ronja hat schöne lange Beine.",0.448864489,2.3,3.112,2.71,1.44,1,7,1.71,0.83,1,4,NA,NA
9,"dusche",3.4375,1.1529809536003097,2,6,1.9375,0.6871842709362768,1,3,"Ronja macht das Wasser in der Dusche an.",0.468995594,3.04,2.689,3.53,2.01,1,8,2,1.11,1,4,NA,NA
10,"steak",6.28125,1.9713164915044512,2,11,3.375,1.0395408415691625,1,6,"Ronja grillt ein Steak.",1.801499077,2.98,2.403,7.67,3.06,3,14,4.05,1.43,2,7,NA,NA
11,"burger",5.878787878787879,1.6537377315791295,3,9,3.1818181818181817,0.882274951990076,2,5,"Ronja bestellt einen Burger im Lokal.",1.076297626,3.22,2.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"meerjungfrau",4.2727272727272725,1.4847711791873706,1,7,2.393939393939394,0.7474704818333104,1,4,"Die Meerjungfrau schwimmt im Ozean.",0.371232327,2.93,1.653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"bademantel",5.333333333333333,1.8819316317727024,2,9,2.8484848484848486,1.0344446614371199,1,5,"Ronja zieht ihren Bademantel nach dem Duschen an.",0.687251475,2.59,1.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"loewe",2.967741935483871,0.8749807985604383,2,5,1.6774193548387097,0.5408078385892441,1,3,"Der Löwe jagt eine Gazelle in der Savanne.",0,3.31,2.149,3.36,1.5,1,6,1.93,0.83,1,3,2.15,0.6708203932499368
16,"jaeger",4.96969696969697,1.5509039397406372,2,8,2.727272727272727,0.8012773892638271,1,4,"Der Jäger erlegt seine Beute mit dem Gewehr.",0.512753111,3.61,2.585,NA,NA,NA,NA,NA,NA,NA,NA,2.5,0.8271701918685112
17,"teufel",5.28125,1.590990257669732,3,8,2.875,0.7931155389125321,2,4,"Der Teufel lacht diabolisch.",0,3.04,3.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"saturn",6.823529411764706,2.1528077260102307,3,12,3.588235294117647,1.0764038630051154,2,6,"Der Saturn ist der zweitgrößte Planet unseres Sonnensystems.",1.116355634,2.29,1.633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"truthahn",6.3125,1.9582332392630961,2,11,3.375,1.0080322575483707,1,6,"Der Truthahn ist ein in Nordamerika beheimateter Hühnervogel.",1.22262028,3.98,2.316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"skelett",5.636363636363637,1.6736595722058785,3,9,3.0303030303030303,0.9180430438182244,2,5,"Das menschliche Skelett besteht aus über 200 Knochen.",0,3.24,1.914,6.31,2.19,3,13,3.35,1.2,2,7,NA,NA
21,"boxer",5.354838709677419,1.4502502564907935,3,8,2.870967741935484,0.7184212081070996,2,4,"Der Boxer trainiert für den Wettkampf.",0,3,2.297,6.33,2.25,3,12,3.44,1.05,2,6,NA,NA
22,"zeltlager",6.529411764705882,2.0484331649757452,3,11,3.4411764705882355,1.0207298776199087,2,6,"Ein Zeltlager besteht aus vielen Zelten.",2.471095285,3.26,1.114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"fahrrad",3.492063492063492,1.134119181781343,1,6,2.0317460317460316,0.5948232041012058,1,3,"Ronja fährt mit dem Fahrrad zur Arbeit.",0.334944487,3.21,2.54,3.8,1.5,2,9,2.12,0.83,1,5,2.3,0.5712405705774795
24,"knochen",4.617647058823529,1.3487301745638252,2,7,2.5588235294117645,0.7463517925331651,1,4,"Ronja bricht sich einen Knochen.",0,1.21,2.942,4.64,1.68,2,9,2.52,0.96,1,5,NA,NA
25,"leopard",4.9411764705882355,1.5362523559779402,2,8,2.7058823529411766,0.7988405144695231,1,4,"Der Leopard ist eine gefährliche Großkatze.",1.275245112,3.55,1.69,5.64,2.84,2,14,3,1.44,1,7,3.7,1.5593520921743174
26,"zwiebel",4.323529411764706,1.4713545240601842,2,7,2.4411764705882355,0.823561242063752,1,4,"Ronja schneidet für das Mittagessen eine Zwiebel.",0,2.86,1.602,4.47,1.77,3,9,2.6,0.91,2,5,2.2,0.523148363780597
27,"gefangener",5.73,1.7970514570801637,2,10,3.1,0.8703882797784892,1,5,"Der Gefangene wird in eine Gefängniszelle gebracht.",2.310724597,2.96,2.378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"mikroskop",7.712121212121212,2.1466621783966167,3,13,4.136363636363637,1.079691745700719,2,7,"Mit einem Mikroskop kann man winzige Organismen vergrößern.",0.292929951,3.56,1.544,8.15,2.07,5,12,4.31,1.09,3,6,NA,NA
29,"cowboy",5.909090909090909,2.1558588248601236,3,11,3.1515151515151514,1.0931952056132324,2,6,"Der Cowboy schwingt sein Lasso.",0.203905876,3.36,2.526,5.05,1.76,3,10,2.82,0.8,2,5,NA,NA
30,"bauernhof",4.03030303030303,1.4466523529525088,1,7,2.242424242424242,0.7512615652314042,1,4,"Auf dem Bauernhof gibt es viele Tiere.",1.054917449,4.18,1.771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"bergarbeiter",6.9393939393939394,2.1351140768614965,3,12,3.696969696969697,1.0748502362203909,2,6,"Der Bergarbeiter ist oft unter Tage.",2.755022681,3.51,1.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"krone",3.606060606060606,1.2484839290964547,2,6,2.0303030303030303,0.6366341416410451,1,3,"Die Königin trägt eine Krone auf dem Kopf.",0,3.52,2.364,4,1.62,2,8,2.21,0.8,1,4,NA,NA
33,"bilderrahmen",5.121212121212121,1.6155025486976133,2,9,2.8181818181818183,0.882274951990076,1,5,"Ronja kauft einen Bilderrahmen für ihr Familienfoto.",1.533320262,2.26,1.204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"cupcake",9.352941176470589,2.816427491453802,4,14,4.852941176470588,1.3954982371068303,2,7,"Ronja isst einen schön verzierten Cupcake zum Kaffeetrinken.",2.514957192,2.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"ohr",3.2058823529411766,1.2739680735428252,1,5,1.9411764705882353,0.7361314305651904,1,3,"Van Gogh hat sich Teile seines linken Ohres abgeschnitten.",0.194391858,2.35,2.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"kaefer",3.588235294117647,1.2581286502320657,1,6,2,0.6513389472789296,1,3,"Der Käfer krabbelt auf einem Blatt herum.",1.527833823,2.99,2.326,3.5,1.38,1,6,1.96,0.69,1,3,1.7,0.6569466853317865
37,"donut",6.911764705882353,2.137226283149083,4,12,3.6176470588235294,1.1013684568382918,2,6,"Der Donut ist ein nordamerikanisches fluffiges Fettgebäck.",0.391569417,2.23,1.968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"spinne",3.5757575757575757,1.4583874448835397,1,7,2.0606060606060606,0.7881701093115123,1,4,"Die Spinne wartet in ihrem Netz auf Beute.",0,2.34,2.294,3.44,1.26,2,6,2,0.73,1,3,2.15,0.6708203932499368
39,"hosentasche",4.515151515151516,1.3257359305592338,2,7,2.515151515151515,0.6671399834935375,1,4,"In der Hosentasche ist etwas Geld.",1.094767827,2.35,1.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"kleeblatt",4.46875,1.1067060978854206,3,7,2.5625,0.564400909900732,2,4,"Vierblättrigte Kleeblätter bringen Glück.",0.661617906,2.43,1.568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"markt",4.7384615384615385,1.6324533212786962,2,9,2.6615384615384614,0.888765349321094,1,5,"Jeden Freitag kauft Ronja frisches Gemüse auf dem lokalen Markt.",2.503615109,3.82,2.64,5.43,2.19,2,10,3,1.04,1,5,NA,NA
42,"birne",3.4615384615384617,1.2384077866978414,1,6,1.9846153846153847,0.6729670239949469,1,3,"Ronja pflückt eine Birne vom Baum.",0,2.13,2.179,3.36,1.37,1,6,2.06,0.64,1,3,2.35,0.6708203932499368
43,"buerste",4.287878787878788,1.5861433780874967,1,8,2.393939393939394,0.857165056877574,1,4,"Ronja kämmt sich mit der Bürste ihre Haare.",0.966184849,2.36,1.716,3.24,1.64,0,6,1.94,0.66,1,3,2.05,1.0500626547722611
44,"kralle",5.757575757575758,1.768302558781709,2,9,3.090909090909091,0.8790490729915326,1,5,"Der Adler trägt seine Beute in den Krallen.",0.660666006,2.63,1.462,5,2.24,2,10,2.8,1.08,1,5,NA,NA
45,"tamburin",8.848484848484848,2.8297660252352594,4,15,4.696969696969697,1.3803271461153803,2,7,"Ronja trommelt auf dem Tamburin.",1.999091496,2.64,0.903,NA,NA,NA,NA,NA,NA,NA,NA,5.277777777777778,1.447332457257165
46,"schraubenzieher",5.9411764705882355,1.8412969156414731,2,9,3.264705882352941,1.0242165824878726,1,5,"Der Schraubenzieher liegt im Werkzeugkasten.",0.845715107,2.26,1.724,NA,NA,NA,NA,NA,NA,NA,NA,3.45,1.0990426455975697
47,"wueste",5.03,1.702375049182996,2,9,2.76,0.9002805398902336,1,5,"Das Kamel läuft durch die Wüste.",0.296431632,3.44,2.837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"feuerwehrmann",4,1.1726039399558574,2,6,2.242424242424242,0.6628679652796169,1,3,"Der Feuerwehrmann löscht einen Brand.",0.411110799,3.2,1.968,NA,NA,NA,NA,NA,NA,NA,NA,2.2,0.7677718959499146
49,"schloss",4.59375,1.3879521930969312,1,8,2.65625,0.7006621292426463,1,4,"Im Schloss gibt es viele Zimmer.",2.299603581,3.19,3.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"glatze",5.205882352941177,1.7016820869756164,1,8,2.7941176470588234,0.8082683234603762,1,4,"Der Mann hat eine Glatze.",1.645176011,2.7,2.114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"galgen",7.7272727272727275,2.4656734282028214,3,13,4.0606060606060606,1.2231974988578587,2,7,"Einem Piraten drohte früher der Galgen.",0.484443934,3.09,1.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,"saege",5.242424242424242,1.541717853368099,3,9,2.909090909090909,0.7650014854412197,2,5,"Die Säge liegt im Werkzeugkasten.",0,1.91,1.903,4.81,1.8,2,8,2.63,0.89,1,4,3.65,1.3088765773505318
53,"tuete",4,1.14564392373896,2,6,2.272727272727273,0.5740604972870494,1,3,"Ronja packt ihre Einkäufe in eine Tüte.",1.595980148,1.92,2.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,"kette",4.606060606060606,1.7618066590754797,1,9,2.5303030303030303,0.8981981444870094,1,5,"Ronja trägt eine Kette um den Hals.",1.385630996,2.11,2.69,3.86,1.66,1,8,2.07,0.73,1,4,NA,NA
55,"schatten",4.484848484848484,1.4815788057257562,2,7,2.515151515151515,0.7953463129830662,1,4,"Der Baum wirft einen Schatten.",0,2.21,2.873,4.08,1.64,2,8,2.25,0.85,1,4,NA,NA
56,"ellenbogen",4.121212121212121,1.4088465086191913,1,7,2.303030303030303,0.6839612783652524,1,4,"Ronja stößt sich den Ellenbogen.",0,2.35,1.431,4.67,2.28,2,10,2.44,1.1,1,5,NA,NA
57,"briefmarke",5.121212121212121,1.5563895671869832,3,9,2.787878787878788,0.8572330399888264,2,5,"Auf der Postkarte klebt eine Briefmarke.",0.441605765,2.54,1.398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,"bluse",6.0606060606060606,2.560998266538289,2,12,3.242424242424242,1.3235913037618294,1,6,"Ronja trägt eine rote Bluse.",0.997533277,2.52,2.149,4.55,2.77,2,14,2.47,1.39,1,7,2.95,0.8870412083230166
60,"holzfaeller",6.0606060606060606,1.599597487248627,3,9,3.303030303030303,0.8833476270999036,2,5,"Der Holzfäller nimmt seine Axt mit in den Wald.",1.349193984,3.58,1.591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,"zeitung",4.53125,1.5023503092198247,2,8,2.5,0.762000762001143,1,4,"Ronja liest eine Zeitung.",0.21265864,2.7,3.061,4.08,1.47,1,6,2.23,0.76,1,3,NA,NA
62,"wespe",4.36,1.4738117967098827,2,8,2.42,0.7808309482192478,1,4,"Die Wespe fliegt zum Wespennest.",1.127856866,3.37,1.633,4.8,2.08,2,10,2.64,1.04,1,5,2.35,0.6708203932499368
63,"balkon",5.375,1.6412033350858064,2,8,3,0.8798826901281197,1,4,"Ronja raucht auf dem Balkon.",1.230912894,2.97,2.253,4.43,1.91,2,9,2.43,1.02,1,5,NA,NA
64,"knopf",4.303030303030303,1.3803271461153803,1,7,2.393939393939394,0.7474704818333104,1,4,"An der Jacke fehlt ein Knopf.",0,1.64,2.756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,"po",2.5483870967741935,0.6238968759562409,1,4,1.5483870967741935,0.5058794110206737,1,2,"Ronja tut der Po vom vielen Sitzen weh.",1.304942482,1.81,2.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,"dach",3.9384615384615387,1.344862017514751,1,7,2.246153846153846,0.7077863649870195,1,4,"Der Regen trommelt auf das Dach.",0.53881685,2.56,3.093,3.63,1.34,1,6,2,0.58,1,3,NA,NA
67,"sofa",3.375,1.1478067422089475,1,6,1.9375,0.5599036198240404,1,3,"Ronja setzt sich auf das Sofa.",0.32984607,2.03,2.452,3.57,1.53,1,7,2.04,0.82,1,4,2.25,1.164157703189193
68,"kerze",4.0588235294117645,1.229465921757461,2,7,2.2941176470588234,0.6755205294731985,1,4,"Ronja zündet eine Kerze an.",0,2.41,2.238,3.42,1.35,1,6,2,0.72,1,3,NA,NA
69,"banane",2.911764705882353,1.3566368187951103,1,6,1.7058823529411764,0.7189812559071419,1,3,"Ronja schält eine Banane.",0,2.13,2.079,3.38,2.7,1,15,1.92,1.25,1,7,2.6,1.3533583957579092
70,"orchester",7.303030303030303,2.4429087232852216,3,12,3.8181818181818183,1.1579762911688178,2,6,"Ronja spielt Cello in einem Orchester.",0.612069284,4.17,2.017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,"pokal",5.402985074626866,1.326418068978726,3,8,2.970149253731343,0.6735286827423962,2,4,"Ronja gewinnt einen Pokal.",0.39351112,2.25,1.653,6.59,2.5,4,14,3.45,1.22,2,7,NA,NA
72,"kaese",3.235294117647059,1.3040455357687049,1,6,1.8529411764705883,0.7439596331985204,1,3,"In Frankreich gibt es guten Käse.",0.286396957,2.32,2.734,3.21,1.32,2,6,1.79,0.79,1,3,NA,NA
73,"welle",4.21875,1.5602806819452752,2,8,2.4375,0.87758833761769,1,4,"Das Boot schaukelt auf den Wellen.",0.14372617,3.22,2.38,4.89,2.56,2,10,2.68,1.25,1,5,NA,NA
74,"traktor",3.6911764705882355,1.384965681359138,1,7,2.1323529411764706,0.7103585759383291,1,4,"Der Traktor fährt über ein Feld.",0.337576423,3.42,1.708,3.86,1.97,1.5,10,2.28,0.89,1,5,2.35,0.8750939799154205
75,"luftballon",3.6363636363636362,1.1942095141290592,2,6,2.0303030303030303,0.6839612783652524,1,3,"Das Kind bekommt einen Luftballon geschenkt.",0.989587521,1.65,1.255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,"brokkoli",4.212121212121212,1.6155025486976133,2,8,2.3636363636363638,0.8222751143238883,1,4,"Brokkoli ist ein beliebtes Beilagengemüse.",0.345752087,2.74,1.23,6.91,4.6,2,20,3.41,1.76,1,7,5.526315789473684,1.982378511133408
77,"kamel",5.090909090909091,1.7205311019354672,1,9,2.8181818181818183,0.8461141122266493,1,5,"Das Kamel läuft durch die Wüste.",0.442571065,3.4,1.914,4.44,2.25,2,10,2.39,1.14,1,5,2.55,0.8255779474818962
78,"schluessel",4.0625,1.189673308368798,2,7,2.28125,0.6831792378049423,1,4,"Der Schlüssel steckt im Türschloss.",0,2.01,3.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,"tastatur",6.319587628865979,1.6236942943522428,3,10,3.381443298969072,0.8470942854973919,2,5,"Ronja schließt ihre Tastatur an den Computer an.",0.244141642,2.11,1.591,7.88,2.93,4,14,4.12,1.41,2,7,NA,NA
80,"hubschrauber",4.212121212121212,1.192622524040396,2,6,2.3333333333333335,0.5951190357119042,1,3,"Der Hubschrauber bringt einen Patienten zum Krankenhaus.",0.996390619,3.41,2.866,4.73,2.62,1,25,2.58,1.19,1,7,2.65,1.0894228312566057
81,"fleisch",3.5454545454545454,1.0923286218816286,2,6,2.0303030303030303,0.6366341416410451,1,3,"Ronja kauft ein Stück Fleisch beim Metzger.",0.552081074,3.1,3.145,3.64,1.65,2,8,2.14,0.77,1,4,NA,NA
82,"park",3.90625,1.3995246888993098,2,7,2.21875,0.75067174218571,1,4,"Ronja geht im Park spazieren.",1.571594956,3.87,3.17,4.33,2.66,1,12,2.44,1.34,1,6,NA,NA
83,"herz",3.5,1.1359236684941296,2,6,2,0.6221710168382552,1,3,"Ronja malt ein Herz auf den Liebesbrief.",0,1.14,3.649,4.28,1.84,2,9,2.44,0.98,1,5,NA,NA
84,"maske",5.242424242424242,1.541717853368099,2,9,2.909090909090909,0.8790490729915326,1,5,"Ronja trägt zum Faschingsfest eine Maske.",0.14372617,3.72,2.682,4.74,1.76,2,8,2.53,0.84,1,4,NA,NA
85,"diamant",5.696969696969697,1.610218317590205,3,9,3.121212121212121,0.8572330399888264,2,5,"Im Schaufenster des Juweliers liegt ein Diamant.",0.553149088,2.55,2.155,7.59,3.23,3,16,3.96,1.56,2,7,NA,NA
86,"fluss",3.71875,1.0234153762075615,1,5,2.09375,0.5880188169032162,1,3,"Ronja geht am Fluss spazieren.",0.932913773,2.74,3.086,3.37,1.26,2,6,1.89,0.74,1,3,NA,NA
87,"roboter",5.636363636363637,1.7821718109195768,2,10,3.0303030303030303,0.8833476270999036,1,5,"Der Roboter bewegt sich sehr mechanisch.",0,2.85,2.891,5.43,3,2,14,2.91,1.47,1,7,NA,NA
88,"kruecke",6.411764705882353,1.908793797438796,3,10,3.4705882352941178,0.9609116289468436,2,5,"Ronja stützt sich auf ihre Krücke.",0.249882293,2.09,1.663,5.48,2.12,1,10,3.04,0.93,1,5,NA,NA
89,"steckdose",4.529411764705882,1.419246366757501,2,8,2.5,0.7487363091276265,1,4,"Ronja steckt den Stecker des Föns in eine Steckdose.",0,2.97,1.477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,"mond",3.0625,1.2684127749837335,1,6,1.75,0.672021505032247,1,3,"Ronja betrachtet den Mond am Nachthimmel.",1.096408695,1.3,2.887,2.71,1.1,1,4,1.59,0.51,1,2,NA,NA
91,"mund",2.757575757575758,1.0009465217452627,1,5,1.606060606060606,0.6092717958449424,1,3,"Ronja hält sich vor Schreck die Hand vor den Mund.",1.621036412,3.09,3.432,2.26,0.99,1,4,1.42,0.51,1,2,NA,NA
92,"robbe",5.0606060606060606,1.766695254199807,1,8,2.787878787878788,0.8199685877205815,1,4,"Die Robbe sonnt sich auf einem Felsen.",1.435689903,3.19,0.903,5.36,3.05,2,12,2.93,1.49,1,6,NA,NA
93,"skateboard",5.7272727272727275,1.7725815790945856,3,9,3.090909090909091,0.8790490729915326,2,5,"Ronja kann kein Skateboard fahren.",0.390452131,1.78,1.58,NA,NA,NA,NA,NA,NA,NA,NA,5.684210526315789,1.9451544234312472
94,"bauch",3.125,1.0080322575483707,1,5,1.8125,0.5350610456580119,1,3,"Der alte Mann hat einen dicken Bauch.",0.827374478,1.94,2.9,2.21,1.03,1,4,1.42,0.51,1,2,NA,NA
95,"koffer",4.787878787878788,1.5563895671869832,2,8,2.606060606060606,0.8268688657895648,1,4,"Ronja packt ihren Koffer für den Urlaub.",0.741980504,2.45,2.976,4.35,1.58,1,8,2.39,0.78,1,4,NA,NA
96,"milch",3,1.2443420336765103,1,6,1.6875,0.6927039119836262,1,3,"Ronja gibt einen Schluck Milch in ihren Kaffee.",0.951541292,2.36,2.925,2.78,1.21,0,8,1.65,0.65,1,4,NA,NA
97,"feder",4.183673469387755,1.4312199307642084,1,8,2.36734693877551,0.7376160415720002,1,4,"Der Vogel verliert eine Feder.",0,2.08,2.5,4.42,1.55,2,8,2.46,0.71,1,4,NA,NA
98,"tiger",3.606060606060606,1.3905797788016772,1,6,2.0303030303030303,0.7282190812544191,1,3,"Der Tiger schläft in der Mittagssonne.",0.195909271,3.41,2.642,3.88,1.57,2,8,2.13,0.85,1,4,2.65,1.3869694338832117
99,"bild",3.3333333333333335,1.1086778913041726,1,6,1.878787878787879,0.5452966943311548,1,3,"Ronja malt ein Bild.",0.899743759,3.09,3.414,3.26,1.38,1,6,1.85,0.72,1,3,NA,NA
100,"nase",2.9696969696969697,1.1035411321301214,1,5,1.7575757575757576,0.6139168831315355,1,3,"Ronja popelt in der Nase.",0,1.86,3.255,2.18,1.33,0,5,1.47,0.62,1,3,NA,NA
101,"schlagzeug",6.0606060606060606,1.8698160661445076,2,10,3.272727272727273,1.0084867151060815,1,5,"Ronja spielt einen Rhythmus auf dem Schlagzeug.",0,2.8,1.602,NA,NA,NA,NA,NA,NA,NA,NA,3.45,1.2343760409722455
102,"haare",3.088235294117647,0.995981229554889,1,5,1.7352941176470589,0.5672273623252055,1,3,"Ronja kämmt sich ihre Haare.",0.205592508,2.92,3.199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,"museum",5.348484848484849,1.5341489672170214,3,9,2.9242424242424243,0.7708258520395473,2,5,"Ronja besucht ein Museum.",1.616278745,3.65,2.63,6.32,2.08,3,11,3.36,1.04,2,6,NA,NA
104,"aufzug",5.375,1.5397947077242096,3,9,2.96875,0.8224422717264602,2,5,"Ronja fährt mit dem Aufzug in den dritten Stock.",1.255317829,2.29,2.551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
